Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,Job Positions Laid Off Desc,Job Positions Laid Off Specific,Reason Mentioned 1,Reason Mentioned 2,Reason Mentioned 3,Unprofitable,AI Mentioned,AI Relation,Expansion Mentioned,cik,Ticker,Exchange,Stock Delisted,Announced Post-Trading Hours,Stock Return On Closest Trading Date Post-Announcement (t),Stock Return 3 Days Before t,Stock Return 2 Days Before t,Stock Return 1 Day Before t,Stock Return 1 Day After t,Stock Return 2 Days After t,Stock Return 3 Days After t,List of Employees Laid Off
Replit,TRUE,SF Bay Area,Product,30,5/16/2024,https://www.theinformation.com/briefings/ai-coding-startup-replit-cuts-20-of-staff-shifts-to-enterprise-sales,222,Unknown,United States,0.2,Non-technical,"Support, Marketing, Recruiting",Optimization,,,,TRUE,Pivot towards AI,FALSE,,,,,,,,,,,,,
Wefox,FALSE,Berlin,Finance,60,5/16/2024,https://news.sky.com/story/insurance-unicorn-wefox-warns-investors-of-insolvency-risk-13137125,1300,Series D,Germany,,Central functions,,Regulatory requirements,Increasing Group cash demands,,,FALSE,,FALSE,,,,,,,,,,,,,
SeekOut,TRUE,Seattle,Recruiting,,5/16/2024,https://techcrunch.com/2024/05/20/seekout-layoffs-30percent-talent-search-tigerglobal/,,Series C,United States,0.3,,,Lower demand,Hiring slowdown,,,FALSE,,FALSE,,,,,,,,,,,,,
Gopuff,TRUE,Philadelphia,Food,,5/16/2024,https://www.theinformation.com/briefings/gopuff-cuts-6-of-corporate-staff-in-fresh-layoffs,3400,Series H,United States,0.06,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,
Atmosphere,TRUE,Austin,Other,100,5/15/2024,https://www.bizjournals.com/austin/news/2024/05/15/layoffs-streaming-startup-austin-atmosphere.html,214,Series D,United States,,,"Sales, engineering, production, management, directors",,,,,FALSE,,FALSE,,,,,,,,,,,,,
Singularity 6,TRUE,Los Angeles,Other,36,5/15/2024,https://twitter.com/sweetpotatoes/status/1790866384810811763,49,Series B,United States,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,
Mainvest,TRUE,Boston,Finance,,5/14/2024,https://mainvest.notion.site/Investor-Support-Hub-45c61ca735dd4daf8203c28d8945f9ff,3,Unknown,United States,1,Across the board,,Partner bankruptcy,Failed to secure funding,,,FALSE,,FALSE,,,,,,,,,,,,,
Indeed,TRUE,Austin,HR,1000,5/13/2024,https://www.indeed.com/press/releases/a-message-from-our-ceo-chris-hyams-2?co=US,5,Acquired,United States,0.08,"R&D, Go-to-market","Sales, CS, R&D",Optimization,,,,FALSE,,FALSE,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/11pw38vkuXKudOZs0YiXBFnOS2tQ476pg3FA_qTLLM0k/edit#gid=0
Rivian,TRUE,Los Angeles,Transportation,120,5/10/2024,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,10700,Post-IPO,United States,0.01,"Support, office","HR, customer support, purchase operations, recruiting, directors, material handlers",Lower demand,,,TRUE,FALSE,,TRUE,1874178,RIVN,NASDAQ,FALSE,FALSE,-0.02250494,-0.007744426,0.001951264,-0.004868568,0.091091078,0.026605502,-0.088471833,
Motional,TRUE,Pittsburgh,Transportation,550,5/10/2024,https://techcrunch.com/2024/05/10/motional-cut-about-550-employees-around-40-in-recent-restructuring-sources-say/,,Unknown,United States,0.4,Across the board,"High performance compute, autonomy, systems operations, product, safety, cybersecurity, legal",Technology far behind profitability,,,,FALSE,,FALSE,,,,,,,,,,,,,
Google,TRUE,SF Bay Area,Consumer,57,5/10/2024,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,26,Post-IPO,United States,,,"Management, engineering, analysts",Optimization,Restructuring toward AI,,,TRUE,Pivot towards AI,FALSE,1652044,GOOG,NASDAQ,FALSE,FALSE,-0.007518409,0.018547924,-0.010521402,0.002453834,0.003582128,0.006026909,0.011341897,
Vacasa,TRUE,Portland,Travel,800,5/9/2024,https://skift.com/2024/05/09/vacasa-told-employees-about-layoffs-restructuring-and-leadership-changes/,834,Post-IPO,United States,0.13,Operations,"Recruiting, sales, compliance, onboarding, IT, HR",Lower demand,Higher homeowner churn,,,FALSE,,FALSE,1874944,VCSA,NASDAQ,FALSE,FALSE,-0.06599707,-0.078431359,0.015602788,-0.026536321,-0.07987718,-0.053422322,-0.065255711,
PrepLadder,FALSE,New Delhi,Education,145,5/8/2024,https://inc42.com/buzz/unacademys-prepladder-lays-off-145-employees-in-sales-strategy-rejig/,,Acquired,India,0.25,Sales,"Marketing, product, technology, sales",,,,,FALSE,,FALSE,,,,,,,,,,,,,
Simpl,FALSE,Bengaluru,Finance,100,5/8/2024,https://www.moneycontrol.com/technology/bnpl-startup-simpl-lays-off-at-least-100-employees-as-part-of-cost-cutting-measures-article-12717158.html?classic=True,72,Series B,India,0.15,High-paying,"Engineering, product",Lower demand,,,,FALSE,,FALSE,,,,,,,,,,,,,
Brilliant,TRUE,SF Bay Area,Hardware,,5/8/2024,https://www.theverge.com/2024/5/8/24150346/brilliant-smart-home-lighting-out-of-business,64,Series B,United States,1,Across the board,,Lower demand,High costs,,,FALSE,,FALSE,,,,,,,,,,,,,
Arkane Studios,TRUE,Austin,Consumer,96,5/8/2024,https://www.bizjournals.com/austin/news/2024/05/08/austin-gaming-studio-shuts-down.html,,Unknown,United States,1,Across the board,,Discontinuing product/service,,,,FALSE,,FALSE,,,,,,,,,,,,,
Hopin,FALSE,London,Other,,5/7/2024,https://hopin-talent-list.notion.site/90e1b6afe89e4264866ab04db1c3d76b?v=ab2de1190547432bb2ac6d0599aa0d60,1000,Series D,United Kingdom,,Across the board,"Engineering, support, product, management, directors, sales, customer support",Post-acquisition restructuring,,,,FALSE,,FALSE,,,,,,,,,,,,,https://hopin-talent-list.notion.site/90e1b6afe89e4264866ab04db1c3d76b?v=ab2de1190547432bb2ac6d0599aa0d60
Enovix,TRUE,SF Bay Area,Energy,170,5/6/2024,https://www.theinformation.com/articles/battery-developer-enovix-lays-off-roughly-one-third-of-staff,516,Post-IPO,United States,0.33,Across the board,,Offshoring,Move production to market,,TRUE,FALSE,,FALSE,1828318,ENVX,NASDAQ,FALSE,FALSE,-0.03072353,0.039936101,0.45468509,0.065469891,-0.079754576,0.00888888,0.006607976,
Bakkt,TRUE,Atlanta,Crypto,28,5/3/2024,https://seekingalpha.com/news/4099966-crypto-platform-bakkt-to-lay-off-28-employees,932,Post-IPO,United States,,Non-call center staff,,Business realignment,,,TRUE,FALSE,,FALSE,1820302,BKKT,NYSE,FALSE,TRUE,0.015384601,-0.059612533,-0.004754316,0.035031813,0.104545465,0.205761318,0.166097844,
Luminar,TRUE,Orlando,Transportation,140,5/3/2024,https://techcrunch.com/2024/05/03/luminar-layoffs-reduction-restructuring-lidar/,780,Post-IPO,United States,0.2,,,Reduced capital availability,Definite business realignment,Cut costs,,TRUE,Part of company product,FALSE,1758057,LAZR,NASDAQ,FALSE,TRUE,-0.005952375,0.006802714,0.0135135,0.119999965,-0.011976037,0.187878828,-0.13775509,
Cue Health,TRUE,San Diego,Healthcare,230,5/3/2024,https://www.beckershospitalreview.com/digital-health/health-tech-company-lays-off-49-of-workforce.html,899,Post-IPO,United States,0.49,,,Lower demand,Cut costs,,,FALSE,,FALSE,1628945,HLTH,NASDAQ,FALSE,TRUE,0.02857138,-0.007352956,0.037037,0,-0.062499922,-0.029629688,-0.007633603,
Rivian,TRUE,Los Angeles,Transportation,150,5/3/2024,https://abc7.com/rivian-jobs-irvine-careers-electric-vehicle/14761190/,10700,Post-IPO,United States,,"Support, office",,Lower demand,High interest rates,,TRUE,FALSE,,TRUE,1874178,RIVN,NASDAQ,FALSE,FALSE,0.024415033,-0.05117276,0.034831509,0.06731812,0.025819289,-0.007744426,0.001951264,
Sprinklr,TRUE,New York City,Support,116,5/3/2024,https://techcrunch.com/2024/05/03/sprinklr-lays-off-more-than-100-employees/,429,Post-IPO,United States,0.03,,,Reduced capital availability,Cut costs,,FALSE,TRUE,Part of company product,FALSE,1569345,CXM,NYSE,FALSE,FALSE,0.0016793,-0.02826269,0.021385801,-0.002512541,0.036881774,0.03637832,-0.006240244,
Peloton,TRUE,New York City,Fitness,400,5/2/2024,https://www.cnbc.com/2024/05/02/peloton-ceo-barry-mccarthy-steps-down-15percent-of-staff-laid-off.html,1900,Post-IPO,United States,0.15,,"R&D, marketing",Cut costs,Debt refinancing,Lower demand,TRUE,FALSE,,FALSE,1639825,PTON,NASDAQ,FALSE,FALSE,-0.027950284,0.044303754,-0.057575776,0.035369819,0.094249146,0.033576646,0.155367287,
Cabify,FALSE,Madrid,Transportation,29,5/2/2024,https://www.epe.es/es/activos/20240502/cabify-ejecuta-veintena-despidos-staff-101773083,601,Unknown,Spain,,,,,,,,,,,,,,,,,,,,,,,
Google,TRUE,SF Bay Area,Consumer,200,5/1/2024,https://www.cnbc.com/2024/05/01/google-cuts-hundreds-of-core-workers-moves-jobs-to-india-mexico.html,26,Post-IPO,United States,,Technical positions,Engineering,Offshoring,Operate closer to partners,,,TRUE,"Key strategic growth area, notable layoff target",TRUE,1652044,GOOG,NASDAQ,FALSE,FALSE,0.005648736,0.099651825,-0.033335301,-0.019416287,0.017454848,0.00314614,0.004970686,
Assurance,TRUE,Seattle,Finance,112,5/1/2024,https://www.geekwire.com/2024/prudential-to-shut-down-assurance-the-insurance-tech-startup-it-acquired-for-2-35b-in-2019/,,Acquired,United States,1,,,,,,,,,,,,,,,,,,,,,,
Sproutt,TRUE,Hartford,Finance,,5/1/2024,https://www.calcalistech.com/ctechnews/article/rzw567hs7,38,Series B,United States,1,,,,,,,,,,,,,,,,,,,,,,
Akili,TRUE,Boston,Healthcare,,4/30/2024,https://investors.akiliinteractive.com/news/news-details/2024/Akili-Announces-Amended-Agreement-with-Shionogi-Shift-in-Corporate-Strategy-and-Release-Date-for-First-Quarter-2024-Financial-Results/default.aspx,271,Post-IPO,United States,0.46,"Marketing, medical affairs","Marketing, medical affairs",Business realignment,Cut costs,,TRUE,FALSE,,FALSE,1850266,AKLI,NASDAQ,FALSE,FALSE,0.702127689,-0.016129005,0.004098369,-0.040816348,-0.017499998,0.040712474,-0.017114912,
Tesla,TRUE,Austin,Transportation,500,4/30/2024,https://www.theverge.com/2024/4/30/24145621/tesla-layoff-supercharger-ev-charging-nacs-elon-musk,20200,Post-IPO,United States,,"EV charging, public policy",,,,,,TRUE,Pivot towards AI,FALSE,1318605,TSLA,NASDAQ,FALSE,FALSE,-0.055501181,0.049651437,-0.011105885,0.153069171,-0.01795064,0.000111056,0.006555236,
Google,TRUE,SF Bay Area,Consumer,,4/30/2024,https://techcrunch.com/2024/04/29/google-lays-off-staff-from-flutter-dart-python-weeks-before-its-developer-conference/,26,Post-IPO,United States,,,Engineering,Optimization,Business realignment,,,TRUE,,FALSE,1652044,GOOG,NASDAQ,FALSE,FALSE,-0.019416287,-0.019553129,0.099651825,-0.033335301,0.005648736,0.017454848,0.00314614,
Fisker,TRUE,Los Angeles,Transportation,,4/29/2024,https://techcrunch.com/2024/04/29/fisker-layoffs-staff-email-cuts-bankruptcy-sale/,1700,Post-IPO,United States,,,,Preserve cash,,,TRUE,FALSE,,FALSE,,FSRN,OTCMKTS,FALSE,FALSE,0,0,0.5,0,-0.166666636,0,0,
Getir,FALSE,London,Food,3300,4/29/2024,https://techcrunch.com/2024/04/29/getir-getout-instant-delivery/,1800,Series E,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
Ola,FALSE,Bengaluru,Transportation,180,4/29/2024,https://techcrunch.com/2024/04/29/indian-ride-hailing-giant-ola-cuts-180-jobs-in-profitability-push/,5000,Series J,India,0.1,,,,,,,,,,,,,,,,,,,,,,
ComplYant,TRUE,Los Angeles,Finance,,4/29/2024,https://www.businessinsider.com/tax-compliance-startup-raised-millions-then-it-abruptly-shut-down-2024-4,6,Seed,United States,1,,,,,,,,,,,,,,,,,,,,,,
HealthifyMe,FALSE,Bengaluru,Healthcare,150,4/27/2024,https://inc42.com/buzz/healthify-fires-150-employees-in-a-restructuring-exercise/,130,Series D,India,0.27,,,,,,,,,,,,,,,,,,,,,,
True Anomaly,TRUE,Denver,Aerospace,30,4/25/2024,https://techcrunch.com/2024/04/25/defense-space-startup-True-anomaly-layoffs-cancels-internship/,158,Series B,United States,0.25,,,,,,,,,,,,,,,,,,,,,,
Grin,TRUE,Sacramento,Marketing,,4/25/2024,https://www.businessinsider.com/influencer-marketing-firm-grin-lays-off-staffers-2024-4,145,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
Expedia,TRUE,Austin,Travel,84,4/24/2024,https://www.bizjournals.com/austin/news/2024/04/24/expedia-layoffs-austin-employees.html,3300,Post-IPO,United States,,,,,,,FALSE,FALSE,,FALSE,1324424,EXPE,NASDAQ,FALSE,FALSE,0.005776913,0.005455939,0.020077491,0.026065871,0.003313674,-0.00403672,0.007074479,
Freenome,TRUE,SF Bay Area,Healthcare,100,4/23/2024,https://www.sfchronicle.com/bayarea/article/tech-layoffs-freenome-19421173.php,1400,Series E,United States,0.2,,,,,,,,,,,,,,,,,,,,,,
Heureka Group,FALSE,Prague,Retail,100,4/23/2024,https://cc.cz/heureka-hromadne-propustila-stovku-lidi-jsme-zasazeni-tlakem-na-efektivitu-uvedla/,,Acquired,Czech Republic,0.16,,,,,,,,,,,,,,,,,,,,,,
98point6,TRUE,Seattle,Healthcare,,4/23/2024,https://www.geekwire.com/2024/98point6-hit-by-new-layoffs-in-latest-change-at-health-tech-startup/,299,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
OutSystems,TRUE,Boston,Product,150,4/19/2024,https://observador.pt/2024/04/19/unicornio-outsystems-faz-reducao-de-8-no-total-de-trabalhadores/,802,Series G,United States,0.08,,,,,,,,,,,,,,,,,,,,,,
Homie,TRUE,Salt Lake City,Real Estate,,4/19/2024,https://www.sltrib.com/news/business/2024/04/19/homie-utah-company-meant-disrupt/,35,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
The Good Glamm Group,FALSE,New Delhi,Retail,150,4/18/2024,https://economictimes.indiatimes.com/tech/technology/content-to-commerce-platform-the-good-glamm-group-lays-off-150-employees/articleshow/109401639.cms,180,Unknown,India,0.15,,,,,,,,,,,,,,,,,,,,,,
Showpad,FALSE,Ghent,Marketing,50,4/18/2024,https://www.tijd.be/ondernemen/technologie/techbedrijf-showpad-slaat-met-nieuwe-ontslagronde-pad-naar-winst-in-we-willen-overnames-doen/10540237.html,159,Series D,Belgium,0.1,,,,,,,,,,,,,,,,,,,,,,
Stability AI,FALSE,London,AI,20,4/18/2024,https://www.cnbc.com/2024/04/18/ai-startup-stability-lays-off-10percent-of-employees-after-ceo-exit.html,174,Unknown,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
Pax8,TRUE,Denver,Infrastructure,,4/18/2024,https://www.crn.com/news/channel-news/2024/pax8-cuts-about-five-percent-of-workforce-parting-with-valued-teammates-is-never-easy,400,Unknown,United States,0.05,,,,,,,,,,,,,,,,,,,,,,
Rivian,TRUE,Detroit,Transportation,,4/17/2024,https://www.reuters.com/business/autos-transportation/rivian-cuts-1-workforce-second-job-cut-this-year-2024-04-17/,10700,Post-IPO,United States,0.01,Support,,Lower demand,High interest rates,Hit financial targets,TRUE,FALSE,,FALSE,1874178,RIVN,NASDAQ,FALSE,FALSE,0.003444286,-0.045976969,-0.079956242,0.036904814,0.010297501,-0.022650035,0.018539959,
Google,TRUE,SF Bay Area,Consumer,,4/17/2024,https://www.reuters.com/technology/google-lays-off-employees-shifts-some-roles-abroad-amid-cost-cuts-2024-04-17/,26,Post-IPO,United States,,"Real estate, finance","Treasury, business services, revenue cash operations",Optimization,Business realignment,,,FALSE,,TRUE,1652044,GOOG,NASDAQ,FALSE,FALSE,0.005641057,-0.009950811,-0.017965956,-0.002110931,0.003697105,-0.01105046,0.014320548,
ConnectWise,TRUE,Tampa Bay,Other,,4/17/2024,https://www.crn.com/news/channel-news/2024/connectwise-lays-off-less-than-100-staffers-to-improve-operations?itc=refresh,1,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
Take-Two Interactive,TRUE,New York City,Consumer,579,4/16/2024,https://www.ign.com/articles/take-two-announces-layoffs-while-canceling-multiple-in-development-projects,4100,Post-IPO,United States,0.05,,,Cut costs,,,,FALSE,,TRUE,946581,TTWO,NASDAQ,FALSE,TRUE,-0.015744196,-0.026893037,-0.013376799,0.001032305,-0.017602712,-0.000284366,-0.004551916,
Tome,TRUE,SF Bay Area,AI,12,4/16/2024,https://www.semafor.com/article/04/16/2024/ai-startup-tome-lays-off-staff-to-focus-on-revenue,75,Series B,United States,0.25,,,,,,,,,,,,,,,,,,,,,,
Tesla,TRUE,Austin,Transportation,14000,4/15/2024,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,20200,Post-IPO,United States,0.1,,,Lower demand,Increasing competition,,FALSE,TRUE,Pivot towards AI,FALSE,1318605,TSLA,NASDAQ,FALSE,FALSE,-0.055948595,-0.028946236,0.016534768,-0.020332205,-0.027062145,-0.010565869,-0.035509838,https://docs.google.com/spreadsheets/d/1UCxvLdJq9jldv_yOQTW-KLrjzp_zoMFrKJs5YIMRxcQ/edit#gid=0
Criteo,FALSE,Paris,Marketing,140,4/12/2024,https://www.businessinsider.com/criteo-layoffs-global-staff-job-reductions-2024-4,61,Post-IPO,France,0.04,,,Ad tracking crackdown,Optimization,,FALSE,FALSE,,FALSE,1576427,CRTO,NASDAQ,FALSE,FALSE,-0.012890311,0.002282506,0.00426979,-0.010487498,-0.008995867,-0.014641288,0.011887004,
Glovo,FALSE,Barcelona,Food,25,4/12/2024,https://beteve.cat/economia/glovo-acomiada-25-treballadors-oficines-barcelona/,1200,Acquired,Spain,,,,,,,,,,,,,,,,,,,,,,,
TikTok,FALSE,Dublin,Consumer,250,4/11/2024,https://www.thejournal.ie/tiktok-to-cut-around-300-jobs-6352003-Apr2024/,,Acquired,Ireland,,,,,,,,,,,,,,,,,,,,,,,
Fabric,TRUE,New York City,Logistics,30,4/11/2024,https://www.calcalistech.com/ctechnews/article/hyfcqfhlr,336,Series C,United States,0.15,,,,,,,,,,,,,,,,,,,,,,
Hinge Health,TRUE,SF Bay Area,Healthcare,,4/11/2024,https://techcrunch.com/2024/04/11/virtual-physical-therapist-hinge-health-lays-off-10-of-its-workforce/,826,Series E,United States,0.1,,,,,,,,,,,,,,,,,,,,,,
Zoe,FALSE,London,Healthcare,,4/11/2024,https://sifted.eu/articles/zoe-healthtech-cost-cutting-news,89,Series B,United Kingdom,0.2,,,,,,,,,,,,,,,,,,,,,,
Cornershop,FALSE,Santiago,Food,200,4/10/2024,https://dfmas.df.cl/df-mas/coffee-break/uber-chile-despide-a-200-personas,32,Acquired,Chile,,,,,,,,,,,,,,,,,,,,,,,
Scaler,FALSE,Bengaluru,Education,150,4/10/2024,https://entrackr.com/2024/04/tech-upskilling-startup-scaler-lays-off-150-employees/,55,Series B,India,,,,,,,,,,,,,,,,,,,,,,,
Checkr,TRUE,SF Bay Area,HR,382,4/9/2024,Internal memo,679,Series D,United States,0.32,,,,,,,,,,,,,,,,,,,,,,
Trendsales,FALSE,Copenhagen,Retail,79,4/8/2024,https://aimgroup.com/2024/04/08/vinted-reportedly-lays-off-all-trendsales-employees-after-takeover/,,Acquired,Denmark,1,,,,,,,,,,,,,,,,,,,,,,
Singularity 6,TRUE,Los Angeles,Other,49,4/8/2024,https://www.gamesindustry.biz/singularity-6-reduces-workforce-by-35,49,Series B,United States,0.35,,,,,,,,,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1hSIdc2ABP04wfDION-6mIHvZL1Y2jPG2lg_KePrzhEc/edit#gid=0
Fission,FALSE,Vancouver,Other,,4/7/2024,https://fission.codes/blog/farewell-from-fission/,,Unknown,Canada,1,,,,,,,,,,,,,,,,,,,,,,
Bolt.Earth,FALSE,Bengaluru,Energy,70,4/6/2024,https://inc42.com/buzz/bolt-earth-fires-employees-in-another-restructuring-exercise-shuts-two-business-verticals/,24,Series B,India,0.4,,,,,,,,,,,,,,,,,,,,,,
Apple,TRUE,SF Bay Area,Hardware,614,4/4/2024,https://www.bloomberg.com/news/articles/2024-04-04/apple-cut-at-least-600-workers-when-car-screen-projects-stopped?embedded-checkout=True,1200,Post-IPO,United States,,,"Machine shop managers, hardware engineers, product design engineers",Discontinuing product/service,,,FALSE,TRUE,Part of company product,TRUE,320193,AAPL,NASDAQ,FALSE,TRUE,0.004501755,-0.006998836,0.004797418,-0.004892318,-0.006663488,0.007242449,-0.011139247,
Intel,TRUE,SF Bay Area,Hardware,62,4/4/2024,https://www.crn.com/news/components-peripherals/2024/intel-layoffs-impact-62-jobs-at-california-hq,12,Post-IPO,United States,,"Sales, marketing","Sales, marketing",,,,TRUE,FALSE,,FALSE,50863,INTC,NASDAQ,FALSE,FALSE,0.009215453,-0.014877345,-0.025673275,-0.018858177,-0.029480882,0.011559147,-0.051554704,
Agility Robotics,TRUE,Portland,Other,,4/4/2024,https://techcrunch.com/2024/04/04/agility-robotics-lays-off-some-staff-amid-commercialization-focus/,179,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
Amazon,TRUE,Seattle,Retail,,4/3/2024,https://www.geekwire.com/2024/amazon-web-services-cuts-hundreds-of-jobs-in-sales-training-and-physical-stores-technology/,108,Post-IPO,United States,,Amazon Web Services,"Sales, marketing, Global Services, Physical Stores Technology",Definite business realignment,Optimization,,FALSE,FALSE,,TRUE,1018724,AMZN,NASDAQ,FALSE,FALSE,0.009519072,0.003058461,0.003270852,-0.001547211,-0.013212015,0.028166707,0.000648377,
Lightspeed Commerce,FALSE,Montreal,Retail,280,4/3/2024,https://www.bnnbloomberg.ca/lightspeed-commerce-cutting-280-jobs-as-it-focuses-on-profitable-growth-1.2054620,1200,Post-IPO,Canada,,,,Chase profitability,Cut costs,,,FALSE,,FALSE,1823306,LSPD,NYSE,FALSE,FALSE,0.056834531,0.005722524,0.008534842,-0.019746169,-0.059223956,0.020984079,0.0021262,
Ghost Autonomy,TRUE,SF Bay Area,Transportation,100,4/3/2024,https://www.sfgate.com/tech/article/ghost-autonomy-shutdown-tech-layoff-19385702.php,247,Series E,United States,1,,,,,,,,,,,,,,,,,,,,,,
Vivian Health,TRUE,SF Bay Area,Healthcare,13,4/3/2024,Internal memo,60,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1H9FKlAxhkw_Dk1vh-RsknJz8rXTaLDz8-O4YSjXyg9s/edit#gid=765377218
CoRover,FALSE,Bengaluru,AI,,4/3/2024,https://inc42.com/buzz/corover-ai-to-shut-down-its-us-uk-subsidiaries-to-focus-on-the-india-market/,,Unknown,India,,,,,,,,,,,,,,,,,,,,,,,
Kaseya,TRUE,Miami,Security,,4/3/2024,https://www.bizjournals.com/southflorida/news/2024/04/03/kaseya-miami-job-staff-cuts.html,547,Unknown,United States,,,,,,,,,,,,,,,,,,,,,,,
New Relic,TRUE,SF Bay Area,Infrastructure,,4/3/2024,https://www.bizjournals.com/portland/news/2024/04/03/layoffs-reported-at-new-relic.html,214,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
Yummly,TRUE,SF Bay Area,Food,,4/3/2024,https://thespoon.tech/whirlpool-lays-off-entire-team-for-cooking-and-recipe-app-yummly/,24,Acquired,United States,1,,,,,,,,,,,,,,,,,,,,,,
Byju's,FALSE,Bengaluru,Education,500,4/2/2024,https://www.business-standard.com/companies/news/byju-s-lays-off-500-employees-terminates-employment-over-phone-calls-124040201104_1.html,5500,Private Equity,India,0.03,,,,,,,,,,,,,,,,,,,,,,
Lentra,FALSE,Pune,Finance,,4/2/2024,https://inc42.com/buzz/fintech-saas-startup-lentra-lays-off-employees-to-optimise-operations/,104,Series B,India,,,,,,,,,,,,,,,,,,,,,,,
Thepeer,FALSE,Lagos,Finance,,4/2/2024,https://techpoint.africa/2024/04/01/nigerian-startup-thepeer-to-shut-down/,2,Seed,Nigeria,1,,,,,,,,,,,,,,,,,,,,,,
Osso VR,TRUE,SF Bay Area,Healthcare,67,4/1/2024,https://www.medtechdive.com/news/osso-vr-lay-off-67-people-san-francisco/711814/,109,Series C,United States,,,,,,,,,,,,,,,,,,,,,,,
Identiq,FALSE,Tel Aviv,Security,20,4/1/2024,https://www.calcalistech.com/ctechnews/article/bjfyzloya,52,Series A,Israel,0.44,,,,,,,,,,,,,,,,,,,,,,
Ranger Insurance,TRUE,New York City,Finance,,4/1/2024,https://www.linkedin.com/feed/update/urn:li:activity:7180607619240243201/,5,Seed,United States,1,,,,,,,,,,,,,,,,,,,,,,
Rezi,TRUE,New York City,Real Estate,,4/1/2024,https://therealdeal.com/national/2024/04/01/rental-platform-rezi-runs-out-of-money-shuts-down/,230,Series B,United States,1,,,,,,,,,,,,,,,,,,,,,,
ChowNow,TRUE,Los Angeles,Food,60,3/28/2024,https://techcrunch.com/2024/03/28/chownow-acquires-yc-backed-point-of-sale-platform-cuboh-and-is-laying-off-staff/,64,Series C,United States,0.2,,,,,,,,,,,,,,,,,,,,,,
GoPro,TRUE,SF Bay Area,Consumer,,3/26/2024,https://www.wsj.com/business/earnings/gopro-to-cut-total-workforce-by-4-reduce-office-space-208f369a?,288,Post-IPO,United States,0.04,,,Cut costs,,,,FALSE,,FALSE,1500435,GPRO,NASDAQ,FALSE,TRUE,0.009049765,-0.004291842,-0.021551704,-0.026431693,0,0.008968601,-0.044444402,
Synctera,TRUE,SF Bay Area,Finance,17,3/26/2024,https://techcrunch.com/2024/03/26/baas-startup-synctera-layoffs-fintech/,79,Series A,United States,0.15,,,,,,,,,,,,,,,,,,,,,,
Dell,TRUE,Austin,Hardware,6000,3/25/2024,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/,,Post-IPO,United States,0.05,,,Cut costs,Lower demand,,FALSE,TRUE,New AI products,TRUE,1571996,DELL,NYSE,FALSE,TRUE,0.014601839,0.02673991,-0.015783961,0.006771217,-0.025904942,0.021758589,0.048461995,
Verily,TRUE,SF Bay Area,Healthcare,,3/22/2024,https://www.businessinsider.com/alphabets-verily-layoffs-google-employees-molecular-science-immune-profiler-r2024-3,3500,Subsidiary,United States,,,,,,,,,,,,,,,,,,,,,,,
Cybereason,TRUE,Boston,Security,,3/20/2024,https://www.calcalistech.com/ctechnews/article/bkrfcv00ra,750,Series F,United States,,,,,,,,,,,,,,,,,,,,,,,
Singular Genomics,TRUE,San Diego,Healthcare,,3/19/2024,https://www.genomeweb.com/business-news/singular-genomics-lay-20-percent-workforce-q4-revenues-41-percent,176,Post-IPO,United States,0.2,,,Cut costs,Preserve cash,Focus on R&D,,FALSE,,FALSE,1850906,OMIC,NASDAQ,FALSE,FALSE,-0.060329055,-0.080733997,-0.001995982,0.093999982,0.019455234,-0.059160284,0.044624716,
ShopBack,FALSE,Singapore,Retail,195,3/19/2024,https://www.bloomberg.com/news/articles/2024-03-19/temasek-backed-shopback-cuts-24-of-jobs-in-pay-later-defeat?embedded-checkout=True,355,Series F,Singapore,0.24,,,,,,,,,,,,,,,,,,,,,,
Orbotech,FALSE,Yavne,Manufacturing,100,3/19/2024,https://www.calcalistech.com/ctechnews/article/hy20lqwrt,,Acquired,Israel,,,,,,,,,,,,,,,,,,,,,,,
Airmeet,FALSE,Bengaluru,Marketing,,3/19/2024,https://inc42.com/buzz/airmeet-lays-off-20-workforce-in-second-restructuring-exercise-within-a-year/,50,Series B,India,0.2,,,,,,,,,,,,,,,,,,,,,,
Longi,FALSE,Xi'an,Energy,,3/18/2024,https://www.nasdaq.com/articles/chinas-longi-says-it-will-lay-off-about-5-of-employees,,Unknown,China,0.05,,,,,,,,,,,,,,,,,,,,,,
